#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-24T17:33:00 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614e0aad5022e	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/468/663&tab:{J/A+A/468/663/table3}&key:source=J/A+A/468/663/table3&HTTPPRM:&
#-source=J/A+A/468/663/table3
#-order=I
#-out=Star
#-out=Line
#-out=Elem
#-out=lambda
#-out=EP(low)
#-out=loggf
#-out=EW
#-out=A(Fe)
#

#RESOURCE=yCat_34680663
#Name: J/A+A/468/663
#Title: Li abundances in solar-analog stars (Takeda+, 2007)
#Table	J_A_A_468_663_table3:
#Name: J/A+A/468/663/table3
#Title: EWs of Fe I/Fe II lines and resulting Fe abundances
#Column	Star	(A10)	Star name (Sun/Moon or HIP NNNNNN)	[ucd=meta.id;meta.main]
#Column	Line	(I4)	Line No. (cf. Takeda et al. 2005, Cat. <J/PASJ/57/27>)	[ucd=meta.id;spect.line]
#Column	Elem	(F5.2)	26.00 for Fe I, 26.01 for Fe II	[ucd=meta.note]
#Column	lambda	(F8.3)	Line wavelength	[ucd=em.wl;spect.line]
#Column	EP(low)	(F6.3)	Excitation potential of the lower level	[ucd=phys.atmol.excitation;phys.atmol.level]
#Column	loggf	(F6.3)	log(gf) value	[ucd=stat.value;arith.zp]
#Column	EW	(F5.1)	? Fe line equivalent width	[ucd=spect.line.eqWidth]
#Column	A(Fe)	(F5.2)	? Line-by-line Fe abundance	[ucd=phys.abund.Fe]
Star|Line|Elem|lambda|EP(low)|loggf|EW|A(Fe)
HIP   9349| 110|26.00|5661.348| 4.280|-1.790| 23.5| 7.52
HIP   9349| 111|26.00|5696.102| 4.550|-1.847| 16.0| 7.61
HIP   9349| 112|26.00|5701.545| 2.560|-2.087| 88.3| 7.55
HIP   9349| 113|26.00|5705.466| 4.300|-1.433| 38.4| 7.52
HIP   9349| 114|26.00|5778.455| 2.590|-3.468| 23.2| 7.54
HIP   9349| 115|26.00|5784.657| 3.340|-2.615| 27.2| 7.52
HIP   9349| 116|26.00|5855.091| 4.607|-1.478| 22.8| 7.49
HIP   9349| 117|26.00|5909.970| 3.210|-2.579|     |
HIP   9349| 118|26.00|5956.692| 0.859|-4.537| 50.7| 7.46
HIP   9349| 119|26.00|6082.708| 2.223|-3.555| 32.5| 7.47
HIP   9349| 120|26.00|6120.244| 0.910|-5.906|     |
HIP   9349| 121|26.00|6136.993| 2.198|-2.910| 62.9| 7.41
HIP   9349| 122|26.00|6151.617| 2.176|-3.296| 50.1| 7.52
HIP   9349| 123|26.00|6173.341| 2.223|-2.888| 66.5| 7.49
HIP   9349| 124|26.00|6180.203| 2.730|-2.615| 55.8| 7.50
HIP   9349| 125|26.00|6200.314| 2.609|-2.360| 73.2| 7.50
HIP   9349| 126|26.00|6219.279| 2.198|-2.458| 89.1| 7.50
HIP   9349| 127|26.00|6232.639| 3.650|-1.197| 84.3| 7.53
HIP   9349| 128|26.00|6240.645| 2.220|-3.269| 50.0| 7.53
HIP   9349| 129|26.00|6265.131| 2.176|-2.578| 82.9| 7.46
HIP   9349| 130|26.00|6271.276| 3.330|-2.751| 22.7| 7.51
HIP   9349| 131|26.00|6280.616| 0.859|-4.363| 65.1| 7.55
HIP   9349| 132|26.00|6297.792| 2.223|-2.740| 71.8| 7.44
HIP   9349| 133|26.00|6311.500| 2.832|-3.141| 29.6| 7.57
HIP   9349| 134|26.00|6322.690| 2.588|-2.326| 75.4| 7.48
HIP   9349| 135|26.00|6353.835| 0.915|-6.477|     |
HIP   9349| 136|26.00|6481.869| 2.279|-2.933| 59.3| 7.41
HIP   9349| 137|26.00|6498.937| 0.958|-4.632| 43.8| 7.47
HIP   9349| 138|26.00|6518.365| 2.830|-2.564| 60.7| 7.62
HIP   9349| 139|26.00|6574.225| 0.990|-4.980| 29.5| 7.56
HIP   9349| 140|26.00|6581.207| 1.480|-4.751| 19.4| 7.57
HIP   9349| 141|26.00|6593.871| 2.433|-2.359| 87.0| 7.56
HIP   9349| 142|26.00|6609.110| 2.559|-2.616| 68.9| 7.57
HIP   9349| 143|26.00|6625.021| 1.010|-5.307| 15.8| 7.53
HIP   9349| 144|26.00|6667.725| 4.580|-2.125|  9.5| 7.60
HIP   9349| 145|26.00|6699.162| 4.590|-2.081|  8.4| 7.51
HIP   9349| 146|26.00|6739.520| 1.557|-4.790| 15.5| 7.55
HIP   9349| 147|26.00|6750.150| 2.424|-2.570| 75.2| 7.51
HIP   9349| 148|26.00|6752.705| 4.640|-1.186| 37.5| 7.53
HIP   9349| 149|26.00|6793.252| 4.080|-2.366| 11.7| 7.46
HIP   9349| 150|26.00|6804.001| 4.650|-1.522|     |
HIP   9349| 151|26.00|6804.275| 4.580|-1.776|     |
HIP   9349|1063|26.00|5522.447| 4.209|-1.373|     |
HIP   9349|1064|26.00|5546.500| 4.371|-1.018| 52.3| 7.50
HIP   9349|1065|26.00|5549.948| 3.695|-2.762| 10.5| 7.49
HIP   9349|1066|26.00|5552.691| 4.956|-1.704|  8.4| 7.52
HIP   9349|1067|26.00|5559.638| 4.988|-1.614|  7.4| 7.40
HIP   9349|1068|26.00|5568.072| 4.154|-2.889|     |
HIP   9349|1069|26.00|5568.867| 3.635|-2.817|  8.3| 7.37
HIP   9349|1070|26.00|5577.031| 5.033|-1.446|     |
HIP   9349|1071|26.00|5587.573| 4.143|-1.593| 32.0| 7.39
HIP   9349|1072|26.00|5595.075| 5.064|-1.633|  8.5| 7.56
HIP   9349|1073|26.00|5608.974| 4.209|-2.287| 13.8| 7.65
HIP   9349|1074|26.00|5618.631| 4.209|-1.233| 49.6| 7.48
HIP   9349|1075|26.00|5619.587| 4.386|-1.409| 33.0| 7.47
HIP   9349|1076|26.00|5636.696| 3.640|-2.495| 19.8| 7.51
HIP   9349|1077|26.00|5638.262| 4.220|-0.663| 78.7| 7.51
HIP   9349|1078|26.00|5650.020| 5.099|-0.749| 35.4| 7.50
HIP   9349|1079|26.00|5650.704| 5.085|-0.672| 40.1| 7.55
HIP   9349|1080|26.00|5651.470| 4.473|-1.747| 18.8| 7.53
HIP   9349|1081|26.00|5652.320| 4.260|-1.731| 27.0| 7.53
HIP   9349|1082|26.00|5653.889| 4.386|-1.334| 38.9| 7.51
HIP   9349|1083|26.00|5672.267| 4.584|-2.836|     |
HIP   9349|1084|26.00|5679.025| 4.652|-0.626| 59.6| 7.51
HIP   9349|1085|26.00|5680.241| 4.186|-2.306| 10.0| 7.48
HIP   9349|1086|26.00|5731.762| 4.256|-1.050| 57.9| 7.50
HIP   9349|1087|26.00|5732.275| 4.991|-1.400| 12.7| 7.45
HIP   9349|1088|26.00|5752.023| 4.548|-0.846| 53.1| 7.48
HIP   9349|1089|26.00|5753.121| 4.260|-0.594| 75.2| 7.42
HIP   9349|1090|26.00|5760.345| 3.642|-2.438| 25.9| 7.61
HIP   9349|1091|26.00|5775.080| 4.220|-1.059| 61.4| 7.54
HIP   9349|1092|26.00|5793.913| 4.220|-1.578| 33.6| 7.48
HIP   9349|1093|26.00|5814.805| 4.283|-1.797| 23.1| 7.51
HIP   9349|1094|26.00|5827.875| 3.283|-3.165| 14.4| 7.64
HIP   9349|1095|26.00|5835.098| 4.256|-2.113| 12.7| 7.46
HIP   9349|1096|26.00|5837.700| 4.294|-2.255| 10.3| 7.54
HIP   9349|1097|26.00|5845.266| 5.033|-1.673|  7.8| 7.52
HIP   9349|1098|26.00|5849.682| 3.695|-2.885|  6.8| 7.39
HIP   9349|1099|26.00|5852.217| 4.548|-1.127| 40.7| 7.50
HIP   9349|1100|26.00|5853.149| 1.485|-5.089|     |
HIP   9349|1101|26.00|5856.083| 4.294|-1.513| 32.0| 7.46
HIP   9349|1102|26.00|5858.779| 4.220|-2.156| 12.7| 7.47
HIP   9349|1103|26.00|5859.578| 4.548|-0.489| 73.0| 7.48
HIP   9349|1104|26.00|5861.107| 4.283|-2.327|  8.1| 7.48
HIP   9349|1105|26.00|5880.029| 4.558|-1.877|     |
HIP   9349|1106|26.00|5881.279| 4.607|-1.741| 13.4| 7.45
HIP   9349|1107|26.00|5902.485| 4.593|-1.783| 18.0| 7.64
HIP   9349|1108|26.00|5905.689| 4.652|-0.650| 57.8| 7.49
HIP   9349|1109|26.00|5916.249| 2.453|-2.882| 61.5| 7.64
HIP   9349|1110|26.00|5927.786| 4.652|-0.987| 36.3| 7.37
HIP   9349|1111|26.00|5929.667| 4.548|-1.140| 40.4| 7.51
HIP   9349|1112|26.00|5934.653| 3.929|-1.015| 79.4| 7.57
HIP   9349|1113|26.00|5969.559| 4.283|-2.732|     |
HIP   9349|1114|26.00|5976.157| 4.294|-3.155|     |
HIP   9349|1115|26.00|5984.814| 4.733|-0.129| 90.9| 7.63
HIP   9349|1116|26.00|5987.066| 4.795|-0.307| 70.4| 7.51
HIP   9349|1117|26.00|6003.010| 3.882|-0.903| 80.9| 7.44
HIP   9349|1118|26.00|6027.050| 4.076|-1.065| 63.6| 7.48
HIP   9349|1119|26.00|6034.033| 4.312|-2.335|  8.8| 7.55
HIP   9349|1120|26.00|6093.666| 4.607|-1.297| 29.9| 7.48
HIP   9349|1121|26.00|6094.364| 4.652|-1.557| 18.9| 7.49
HIP   9349|1122|26.00|6096.662| 3.984|-1.758| 38.4| 7.52
HIP   9349|1123|26.00|6105.152| 4.548|-1.916| 12.9| 7.54
HIP   9349|1124|26.00|6127.909| 4.143|-1.352| 48.3| 7.49
HIP   9349|1125|26.00|6165.361| 4.143|-1.434| 43.8| 7.47
HIP   9349|1126|26.00|6187.398| 2.832|-4.094|  3.6| 7.45
HIP   9349|1127|26.00|6187.987| 3.943|-1.587| 48.4| 7.51
HIP   9349|1128|26.00|6199.507| 2.559|-4.283|  5.5| 7.56
HIP   9349|1129|26.00|6213.429| 2.223|-2.562| 81.9| 7.48
HIP   9349|1130|26.00|6220.776| 3.882|-2.322| 19.3| 7.52
HIP   9349|1131|26.00|6221.670| 0.859|-6.441|     |
HIP   9349|1132|26.00|6226.730| 3.883|-2.055| 29.2| 7.51
HIP   9349|1133|26.00|6229.225| 2.845|-2.877| 38.6| 7.52
HIP   9349|1134|26.00|6302.494| 3.686|-1.163|     |
HIP   9349|1135|26.00|6330.838| 4.733|-1.152| 35.0| 7.55
HIP   9349|1136|26.00|6335.328| 2.198|-2.349| 97.4| 7.52
HIP   9349|1137|26.00|6367.111| 4.795|-2.373|     |
HIP   9349|1138|26.00|6392.538| 2.279|-3.939| 18.9| 7.55
HIP   9349|1139|26.00|6436.411| 4.186|-2.337| 11.9| 7.56
HIP   9349|1140|26.00|6472.150| 4.371|-3.140|     |
HIP   9349|1141|26.00|6494.980| 2.404|-1.301|     |
HIP   9349|1142|26.00|6496.469| 4.795|-0.483| 65.5| 7.57
HIP   9349|1143|26.00|6591.325| 4.593|-1.957| 11.0| 7.53
HIP   9349|1144|26.00|6608.024| 2.279|-3.952| 17.9| 7.52
HIP   9349|1145|26.00|6627.540| 4.548|-1.452| 25.8| 7.45
HIP   9349|1146|26.00|6646.932| 2.608|-3.931|  7.7| 7.39
HIP   9349|1147|26.00|6667.417| 2.453|-4.315|  5.2| 7.44
HIP   9349|1148|26.00|6676.863| 4.558|-2.699|     |
HIP   9349|1149|26.00|6703.568| 2.759|-3.008| 35.1| 7.47
HIP   9349|1150|26.00|6710.316| 1.485|-4.813| 14.8| 7.48
HIP   9349|1151|26.00|6712.441| 4.988|-2.071|     |
HIP   9349|1152|26.00|6725.353| 4.103|-2.178| 17.5| 7.51
HIP   9349|1153|26.00|6726.661| 4.607|-1.003| 48.9| 7.54
HIP   9349|1154|26.00|6732.070| 4.584|-2.111|     |
HIP   9349|1155|26.00|6733.151| 4.638|-1.403| 25.7| 7.48
HIP   9349|1156|26.00|6745.090| 4.580|-2.065| 10.6| 7.59
HIP   9349|1157|26.00|6745.955| 4.076|-2.632|     |
HIP   9349|1158|26.00|6746.953| 2.608|-4.337|  5.3| 7.62
HIP   9349|1159|26.00|6783.264| 2.559|-4.550|     |
HIP   9349|1162|26.00|6806.847| 2.727|-3.098|     |
HIP   9349|1163|26.00|6810.257| 4.607|-0.927|     |
HIP   9349|1164|26.00|6824.825| 4.988|-2.125|     |
HIP   9349| 207|26.01|5525.125| 3.267|-4.007|     |
HIP   9349| 208|26.01|6432.680| 2.891|-3.579| 49.8| 7.62
HIP   9349| 209|26.01|6516.080| 2.891|-3.302|     |
HIP   9349|2005|26.01|5991.376| 3.153|-3.540| 33.7| 7.50
HIP   9349|2006|26.01|6084.111| 3.199|-3.791| 23.4| 7.53
HIP   9349|2007|26.01|6141.033| 3.230|-4.872|  2.7| 7.53
HIP   9349|2008|26.01|6149.258| 3.889|-2.720| 37.4| 7.46
HIP   9349|2009|26.01|6239.953| 3.889|-3.423|     |
HIP   9349|2010|26.01|6247.557| 3.892|-2.336| 54.4| 7.45
HIP   9349|2011|26.01|6269.967| 3.245|-4.355|  8.1| 7.54
HIP   9349|2012|26.01|6446.410| 6.222|-1.938|     |
HIP   9349|2013|26.01|6456.383| 3.903|-2.142| 63.0| 7.44
HIP   9519| 109|26.00|5600.226| 4.260|-1.429|     |
HIP   9519| 110|26.00|5661.348| 4.280|-1.790| 22.9| 7.53
HIP   9519| 111|26.00|5696.102| 4.550|-1.847|     |
HIP   9519| 112|26.00|5701.545| 2.560|-2.087| 87.9| 7.52
HIP   9519| 113|26.00|5705.466| 4.300|-1.433| 44.0| 7.66
HIP   9519| 114|26.00|5778.455| 2.590|-3.468| 25.6| 7.65
HIP   9519| 115|26.00|5784.657| 3.340|-2.615| 25.7| 7.53
HIP   9519| 116|26.00|5855.091| 4.607|-1.478| 26.8| 7.62
HIP   9519| 117|26.00|5909.970| 3.210|-2.579|     |
HIP   9519| 118|26.00|5956.692| 0.859|-4.537| 55.7| 7.60
HIP   9519| 119|26.00|6082.708| 2.223|-3.555| 41.1| 7.69
HIP   9519| 120|26.00|6120.244| 0.910|-5.906|     |
HIP   9519| 121|26.00|6136.993| 2.198|-2.910| 70.3| 7.57
HIP   9519| 122|26.00|6151.617| 2.176|-3.296| 52.4| 7.59
HIP   9519| 123|26.00|6173.341| 2.223|-2.888| 74.1| 7.64
HIP   9519| 124|26.00|6180.203| 2.730|-2.615| 61.9| 7.64
HIP   9519| 125|26.00|6200.314| 2.609|-2.360| 76.8| 7.56
HIP   9519| 126|26.00|6219.279| 2.198|-2.458|101.7| 7.71
HIP   9519| 127|26.00|6232.639| 3.650|-1.197| 93.3| 7.67
HIP   9519| 128|26.00|6240.645| 2.220|-3.269| 53.6| 7.63
HIP   9519| 129|26.00|6265.131| 2.176|-2.578| 94.6| 7.66
HIP   9519| 130|26.00|6271.276| 3.330|-2.751| 24.8| 7.60
HIP   9519| 131|26.00|6280.616| 0.859|-4.363|     |
HIP   9519| 132|26.00|6297.792| 2.223|-2.740| 84.0| 7.67
HIP   9519| 133|26.00|6311.500| 2.832|-3.141| 34.6| 7.73
HIP   9519| 134|26.00|6322.690| 2.588|-2.326| 81.0| 7.57
HIP   9519| 135|26.00|6353.835| 0.915|-6.477|     |
HIP   9519| 136|26.00|6481.869| 2.279|-2.933| 67.3| 7.58
HIP   9519| 137|26.00|6498.937| 0.958|-4.632| 52.3| 7.68
HIP   9519| 138|26.00|6518.365| 2.830|-2.564| 70.2| 7.81
HIP   9519| 139|26.00|6574.225| 0.990|-4.980|     |
HIP   9519| 140|26.00|6581.207| 1.480|-4.751| 18.6| 7.61
HIP   9519| 141|26.00|6593.871| 2.433|-2.359| 97.0| 7.72
HIP   9519| 142|26.00|6609.110| 2.559|-2.616| 71.9| 7.63
HIP   9519| 143|26.00|6625.021| 1.010|-5.307| 16.8| 7.64
HIP   9519| 144|26.00|6667.725| 4.580|-2.125|     |
HIP   9519| 145|26.00|6699.162| 4.590|-2.081|     |
HIP   9519| 146|26.00|6739.520| 1.557|-4.790| 16.8| 7.66
HIP   9519| 147|26.00|6750.150| 2.424|-2.570| 79.4| 7.58
HIP   9519| 148|26.00|6752.705| 4.640|-1.186| 42.1| 7.64
HIP   9519| 149|26.00|6793.252| 4.080|-2.366|     |
HIP   9519| 150|26.00|6804.001| 4.650|-1.522|     |
HIP   9519| 151|26.00|6804.275| 4.580|-1.776|     |
HIP   9519|1063|26.00|5522.447| 4.209|-1.373|     |
HIP   9519|1064|26.00|5546.500| 4.371|-1.018| 54.4| 7.54
HIP   9519|1065|26.00|5549.948| 3.695|-2.762| 15.6| 7.74
HIP   9519|1066|26.00|5552.691| 4.956|-1.704|     |
HIP   9519|1067|26.00|5559.638| 4.988|-1.614|     |
HIP   9519|1068|26.00|5568.072| 4.154|-2.889|     |
HIP   9519|1069|26.00|5568.867| 3.635|-2.817| 13.5| 7.66
HIP   9519|1070|26.00|5577.031| 5.033|-1.446|     |
HIP   9519|1071|26.00|5587.573| 4.143|-1.593|     |
HIP   9519|1072|26.00|5595.075| 5.064|-1.633|     |
HIP   9519|1073|26.00|5608.974| 4.209|-2.287| 16.8| 7.79
HIP   9519|1074|26.00|5618.631| 4.209|-1.233| 58.9| 7.67
HIP   9519|1075|26.00|5619.587| 4.386|-1.409| 38.4| 7.60
HIP   9519|1076|26.00|5636.696| 3.640|-2.495| 24.9| 7.69
HIP   9519|1077|26.00|5638.262| 4.220|-0.663| 85.4| 7.61
HIP   9519|1078|26.00|5650.020| 5.099|-0.749| 36.9| 7.54
HIP   9519|1079|26.00|5650.704| 5.085|-0.672| 47.4| 7.70
HIP   9519|1080|26.00|5651.470| 4.473|-1.747| 24.1| 7.70
HIP   9519|1081|26.00|5652.320| 4.260|-1.731| 29.5| 7.62
HIP   9519|1082|26.00|5653.889| 4.386|-1.334| 43.2| 7.61
HIP   9519|1083|26.00|5672.267| 4.584|-2.836|     |
HIP   9519|1084|26.00|5679.025| 4.652|-0.626| 66.4| 7.63
HIP   9519|1085|26.00|5680.241| 4.186|-2.306| 13.7| 7.68
HIP   9519|1086|26.00|5731.762| 4.256|-1.050| 62.7| 7.59
HIP   9519|1087|26.00|5732.275| 4.991|-1.400|     |
HIP   9519|1088|26.00|5752.023| 4.548|-0.846| 64.5| 7.70
HIP   9519|1089|26.00|5753.121| 4.260|-0.594| 84.4| 7.57
HIP   9519|1090|26.00|5760.345| 3.642|-2.438| 25.0| 7.63
HIP   9519|1091|26.00|5775.080| 4.220|-1.059| 64.4| 7.59
HIP   9519|1092|26.00|5793.913| 4.220|-1.578| 40.1| 7.64
HIP   9519|1093|26.00|5814.805| 4.283|-1.797| 21.0| 7.49
HIP   9519|1094|26.00|5827.875| 3.283|-3.165| 15.8| 7.74
HIP   9519|1095|26.00|5835.098| 4.256|-2.113| 20.1| 7.75
HIP   9519|1096|26.00|5837.700| 4.294|-2.255| 12.0| 7.65
HIP   9519|1097|26.00|5845.266| 5.033|-1.673|     |
HIP   9519|1098|26.00|5849.682| 3.695|-2.885|  9.0| 7.57
HIP   9519|1099|26.00|5852.217| 4.548|-1.127| 46.4| 7.63
HIP   9519|1100|26.00|5853.149| 1.485|-5.089|  9.5| 7.66
HIP   9519|1101|26.00|5856.083| 4.294|-1.513| 38.7| 7.63
HIP   9519|1102|26.00|5858.779| 4.220|-2.156| 14.7| 7.59
HIP   9519|1103|26.00|5859.578| 4.548|-0.489| 80.7| 7.59
HIP   9519|1104|26.00|5861.107| 4.283|-2.327| 12.4| 7.73
HIP   9519|1105|26.00|5880.029| 4.558|-1.877| 15.6| 7.66
HIP   9519|1106|26.00|5881.279| 4.607|-1.741|     |
HIP   9519|1107|26.00|5902.485| 4.593|-1.783| 17.7| 7.67
HIP   9519|1108|26.00|5905.689| 4.652|-0.650| 69.4| 7.71
HIP   9519|1109|26.00|5916.249| 2.453|-2.882|     |
HIP   9519|1110|26.00|5927.786| 4.652|-0.987|     |
HIP   9519|1111|26.00|5929.667| 4.548|-1.140| 39.9| 7.51
HIP   9519|1112|26.00|5934.653| 3.929|-1.015| 93.7| 7.81
HIP   9519|1113|26.00|5969.559| 4.283|-2.732|     |
HIP   9519|1114|26.00|5976.157| 4.294|-3.155|     |
HIP   9519|1115|26.00|5984.814| 4.733|-0.129| 95.2| 7.68
HIP   9519|1116|26.00|5987.066| 4.795|-0.307| 76.9| 7.61
HIP   9519|1117|26.00|6003.010| 3.882|-0.903| 91.7| 7.61
HIP   9519|1118|26.00|6027.050| 4.076|-1.065| 69.4| 7.58
HIP   9519|1119|26.00|6034.033| 4.312|-2.335| 11.8| 7.73
HIP   9519|1120|26.00|6093.666| 4.607|-1.297| 35.8| 7.63
HIP   9519|1121|26.00|6094.364| 4.652|-1.557| 22.0| 7.61
HIP   9519|1122|26.00|6096.662| 3.984|-1.758| 38.6| 7.55
HIP   9519|1123|26.00|6105.152| 4.548|-1.916| 11.4| 7.51
HIP   9519|1124|26.00|6127.909| 4.143|-1.352| 51.9| 7.57
HIP   9519|1125|26.00|6165.361| 4.143|-1.434| 49.2| 7.60
HIP   9519|1126|26.00|6187.398| 2.832|-4.094|  6.2| 7.76
HIP   9519|1127|26.00|6187.987| 3.943|-1.587| 54.8| 7.65
HIP   9519|1128|26.00|6199.507| 2.559|-4.283|     |
HIP   9519|1129|26.00|6213.429| 2.223|-2.562| 93.8| 7.69
HIP   9519|1130|26.00|6220.776| 3.882|-2.322|     |
HIP   9519|1131|26.00|6221.670| 0.859|-6.441|     |
HIP   9519|1132|26.00|6226.730| 3.883|-2.055| 35.3| 7.68
HIP   9519|1133|26.00|6229.225| 2.845|-2.877| 44.2| 7.67
HIP   9519|1134|26.00|6302.494| 3.686|-1.163| 98.4| 7.74
HIP   9519|1135|26.00|6330.838| 4.733|-1.152| 42.7| 7.70
HIP   9519|1136|26.00|6335.328| 2.198|-2.349|106.8| 7.66
HIP   9519|1137|26.00|6367.111| 4.795|-2.373|     |
HIP   9519|1138|26.00|6392.538| 2.279|-3.939| 22.2| 7.70
HIP   9519|1139|26.00|6436.411| 4.186|-2.337| 11.0| 7.56
HIP   9519|1140|26.00|6472.150| 4.371|-3.140|     |
HIP   9519|1141|26.00|6494.980| 2.404|-1.301|     |
HIP   9519|1142|26.00|6496.469| 4.795|-0.483| 71.1| 7.65
HIP   9519|1143|26.00|6591.325| 4.593|-1.957| 13.3| 7.66
HIP   9519|1144|26.00|6608.024| 2.279|-3.952| 18.4| 7.59
HIP   9519|1145|26.00|6627.540| 4.548|-1.452| 32.4| 7.62
HIP   9519|1146|26.00|6646.932| 2.608|-3.931| 14.8| 7.78
HIP   9519|1147|26.00|6667.417| 2.453|-4.315|     |
HIP   9519|1148|26.00|6676.863| 4.558|-2.699|     |
HIP   9519|1149|26.00|6703.568| 2.759|-3.008| 42.1| 7.64
HIP   9519|1150|26.00|6710.316| 1.485|-4.813| 13.3| 7.49
HIP   9519|1151|26.00|6712.441| 4.988|-2.071|     |
HIP   9519|1152|26.00|6725.353| 4.103|-2.178| 21.2| 7.65
HIP   9519|1153|26.00|6726.661| 4.607|-1.003| 55.4| 7.66
HIP   9519|1154|26.00|6732.070| 4.584|-2.111|  8.4| 7.56
HIP   9519|1155|26.00|6733.151| 4.638|-1.403| 31.3| 7.63
HIP   9519|1156|26.00|6745.090| 4.580|-2.065| 10.7| 7.63
HIP   9519|1157|26.00|6745.955| 4.076|-2.632|  8.3| 7.60
HIP   9519|1158|26.00|6746.953| 2.608|-4.337|     |
HIP   9519|1159|26.00|6783.264| 2.559|-4.550|     |
HIP   9519|1162|26.00|6806.847| 2.727|-3.098|     |
HIP   9519|1163|26.00|6810.257| 4.607|-0.927|     |
HIP   9519|1164|26.00|6824.825| 4.988|-2.125|     |
HIP   9519| 207|26.01|5525.125| 3.267|-4.007|     |
HIP   9519| 208|26.01|6432.680| 2.891|-3.579| 53.2| 7.72
HIP   9519| 209|26.01|6516.080| 2.891|-3.302|     |
HIP   9519|2005|26.01|5991.376| 3.153|-3.540| 36.6| 7.61
HIP   9519|2006|26.01|6084.111| 3.199|-3.791| 23.4| 7.58
HIP   9519|2007|26.01|6141.033| 3.230|-4.872|     |
HIP   9519|2008|26.01|6149.258| 3.889|-2.720| 44.7| 7.65
HIP   9519|2009|26.01|6239.953| 3.889|-3.423| 12.9| 7.49
HIP   9519|2010|26.01|6247.557| 3.892|-2.336| 69.2| 7.76
HIP   9519|2011|26.01|6269.967| 3.245|-4.355|     |
HIP   9519|2012|26.01|6446.410| 6.222|-1.938|     |
HIP   9519|2013|26.01|6456.383| 3.903|-2.142| 74.3| 7.66
HIP   9829| 109|26.00|5600.226| 4.260|-1.429| 30.4| 7.20
HIP   9829| 110|26.00|5661.348| 4.280|-1.790| 17.0| 7.21
HIP   9829| 111|26.00|5696.102| 4.550|-1.847| 10.2| 7.27
HIP   9829| 112|26.00|5701.545| 2.560|-2.087| 75.2| 7.14
HIP   9829| 113|26.00|5705.466| 4.300|-1.433| 31.5| 7.26
HIP   9829| 114|26.00|5778.455| 2.590|-3.468| 17.5| 7.20
HIP   9829| 115|26.00|5784.657| 3.340|-2.615| 19.6| 7.17
HIP   9829| 116|26.00|5855.091| 4.607|-1.478| 18.3| 7.26
HIP   9829| 117|26.00|5909.970| 3.210|-2.579| 25.7| 7.16
HIP   9829| 118|26.00|5956.692| 0.859|-4.537|     |
HIP   9829| 119|26.00|6082.708| 2.223|-3.555| 27.9| 7.18
HIP   9829| 120|26.00|6120.244| 0.910|-5.906|  4.8| 7.24
HIP   9829| 121|26.00|6136.993| 2.198|-2.910| 57.3| 7.14
HIP   9829| 122|26.00|6151.617| 2.176|-3.296| 44.5| 7.23
HIP   9829| 123|26.00|6173.341| 2.223|-2.888| 60.8| 7.21
HIP   9829| 124|26.00|6180.203| 2.730|-2.615| 45.5| 7.14
HIP   9829| 125|26.00|6200.314| 2.609|-2.360| 66.4| 7.21
HIP   9829| 126|26.00|6219.279| 2.198|-2.458| 81.2| 7.18
HIP   9829| 127|26.00|6232.639| 3.650|-1.197| 72.4| 7.18
HIP   9829| 128|26.00|6240.645| 2.220|-3.269| 41.1| 7.17
HIP   9829| 129|26.00|6265.131| 2.176|-2.578| 79.1| 7.23
HIP   9829| 130|26.00|6271.276| 3.330|-2.751| 16.0| 7.16
HIP   9829| 131|26.00|6280.616| 0.859|-4.363| 58.5| 7.21
HIP   9829| 132|26.00|6297.792| 2.223|-2.740|     |
HIP   9829| 133|26.00|6311.500| 2.832|-3.141| 21.5| 7.21
HIP   9829| 134|26.00|6322.690| 2.588|-2.326| 70.7| 7.24
HIP   9829| 135|26.00|6353.835| 0.915|-6.477|     |
HIP   9829| 136|26.00|6481.869| 2.279|-2.933| 57.2| 7.21
HIP   9829| 137|26.00|6498.937| 0.958|-4.632| 39.1| 7.16
HIP   9829| 138|26.00|6518.365| 2.830|-2.564|     |
HIP   9829| 139|26.00|6574.225| 0.990|-4.980| 25.6| 7.24
HIP   9829| 140|26.00|6581.207| 1.480|-4.751|     |
HIP   9829| 141|26.00|6593.871| 2.433|-2.359| 76.7| 7.21
HIP   9829| 142|26.00|6609.110| 2.559|-2.616| 58.4| 7.21
HIP   9829| 143|26.00|6625.021| 1.010|-5.307| 13.3| 7.21
HIP   9829| 144|26.00|6667.725| 4.580|-2.125|     |
HIP   9829| 145|26.00|6699.162| 4.590|-2.081|  5.7| 7.21
HIP   9829| 146|26.00|6739.520| 1.557|-4.790| 10.8| 7.15
HIP   9829| 147|26.00|6750.150| 2.424|-2.570| 65.9| 7.17
HIP   9829| 148|26.00|6752.705| 4.640|-1.186| 27.4| 7.20
HIP   9829| 149|26.00|6793.252| 4.080|-2.366|  9.9| 7.25
